"strain","resistance","UMAP1","UMAP2","UMAP3","UMAP4","UMAP5","UMAP6","UMAP7","UMAP8"
"DA63232","nonHR",-17.0886135101318,-2.37974619865417,-1.40395152568817,1.88768887519836,4.51855897903442,-0.858815491199493,0.0884449928998947,2.2335033416748
"DA63234","nonHR",11.1504154205322,-1.2370080947876,0.575997114181519,0.48322805762291,-2.52526187896729,0.176510378718376,-1.83026587963104,0.0157885570079088
"DA63236","nonHR",-16.5180053710938,-2.39227294921875,-1.56934499740601,1.95266211032867,4.6877293586731,-1.119269490242,0.155683040618896,1.54388868808746
"DA63238","nonHR",9.92117118835449,-2.08856534957886,0.556502819061279,0.0993967279791832,-0.751296281814575,-0.207197621464729,-1.0854719877243,-1.44889354705811
"DA63240","nonHR",10.9171743392944,-1.28243041038513,0.259164690971375,0.510847389698029,-2.24538683891296,0.575658440589905,-1.83794391155243,-0.0655709356069565
"DA63242","nonHR",10.0307359695435,-1.42919719219208,0.472722917795181,-0.185640603303909,-1.77467978000641,0.959021270275116,-1.0652928352356,-0.846368551254272
"DA63244","nonHR",-17.0793762207031,-2.25830411911011,-2.0781044960022,1.57009136676788,4.11499691009521,-1.26144468784332,-0.196894392371178,2.23996758460999
"DA63246","nonHR",-16.8434734344482,-2.40603566169739,-2.19477939605713,1.0209002494812,3.75554037094116,-0.943756997585297,-0.00567173911258578,2.33096432685852
"DA63248","nonHR",6.73165988922119,-0.821815073490143,0.0500864088535309,-0.167616367340088,-1.74712610244751,-0.66219699382782,0.144213318824768,0.0292686354368925
"DA63250","nonHR",9.27248287200928,-1.52589547634125,0.386051416397095,-0.0197126939892769,-1.71724486351013,1.00011110305786,-1.07782351970673,-0.846554338932037
"DA63252","HR",-0.391320109367371,7.08150243759155,2.31297564506531,-0.294011414051056,-2.81055068969727,1.94787061214447,3.57143115997314,-2.7743067741394
"DA63254","HR",9.91450214385986,-2.26556944847107,0.860512614250183,0.613702118396759,-0.907048225402832,-0.0346410647034645,-1.81084096431732,-1.33509087562561
