"strain","resistance","UMAP1","UMAP2","UMAP3","prediction"
"DA63590","nonHR",13.9991064071655,-4.27768564224243,-4.47783517837524,"COR"
"DA63592","nonHR",13.1646938323975,-5.72562026977539,-4.24958324432373,"COR"
"DA63594","HR",-2.12355589866638,9.50634574890137,-8.20003986358643,"COR"
"DA63596","nonHR",-4.442702293396,-2.55336618423462,1.20588850975037,"COR"
"DA63598","nonHR",13.5403985977173,3.46937131881714,-1.9122189283371,"COR"
"DA63600","nonHR",13.0661544799805,-5.66181039810181,-3.73345136642456,"COR"
"DA63602","nonHR",13.52414894104,2.68056273460388,-2.43934416770935,"COR"
"DA63606","nonHR",14.1431903839111,-4.82091236114502,-4.32653427124023,"COR"
"DA63608","HR",-1.96383845806122,9.02956485748291,-8.637770652771,"COR"
"DA63610","nonHR",-7.36970329284668,-0.620438933372498,5.32779359817505,"COR"
"DA63612","nonHR",-7.20766258239746,-3.01176810264587,5.17662286758423,"COR"
"DA63614","nonHR",-9.2157039642334,-2.2450807094574,6.35706901550293,"COR"
"DA63616","nonHR",13.1700611114502,-4.08553171157837,-4.36892461776733,"COR"
"DA63618","nonHR",4.37783193588257,-1.8400993347168,-2.18094801902771,"COR"
"DA63620","nonHR",-9.31796836853027,-1.16473567485809,6.77050161361694,"COR"
"DA63622","nonHR",-9.17887783050537,-2.23878002166748,6.35719585418701,"COR"
"DA63624","nonHR",-6.91664123535156,-2.85587453842163,6.39094877243042,"COR"
"DA63626","nonHR",-9.02070808410645,-2.60484623908997,6.07361221313477,"COR"
"DA63628","nonHR",13.833384513855,-4.37033319473267,-4.56021451950073,"COR"
"DA63630","nonHR",-4.51337194442749,-2.12286233901978,1.23406708240509,"FP"
"DA63632","nonHR",-7.62130928039551,-3.02982831001282,6.20696401596069,"COR"
"DA63634","nonHR",-5.54126882553101,-1.93516540527344,2.68376326560974,"COR"
"DA63636","nonHR",-9.13773059844971,-0.888243973255157,6.02374935150146,"COR"
"DA63638","nonHR",12.9714574813843,3.0943284034729,-1.97312295436859,"COR"
"DA63640","nonHR",-7.84165239334106,-3.32077074050903,5.26063966751099,"COR"
"DA63642","nonHR",-7.26819133758545,-3.08705592155457,5.94766902923584,"COR"
"DA63644","nonHR",-8.03234100341797,-3.19885730743408,5.2753643989563,"COR"
"DA63646","nonHR",-7.9838285446167,-2.26397895812988,5.63792896270752,"COR"
"DA63648","nonHR",13.4255342483521,-5.36413908004761,-4.68929052352905,"COR"
"DA63650","nonHR",14.0097284317017,2.95457458496094,-2.05726194381714,"COR"
"DA63652","nonHR",-5.02718925476074,-2.26636576652527,2.0213737487793,"COR"
"DA63654","nonHR",-6.24256420135498,-1.73011660575867,2.30963611602783,"COR"
"DA63656","HR",13.568904876709,-3.79676079750061,-3.85304951667786,"FN"
"DA63658","nonHR",-8.62633514404297,-1.72934722900391,4.76629018783569,"COR"
"DA63660","HR",-9.19010162353516,-2.5217125415802,5.99287796020508,"COR"
"DA63662","nonHR",-9.37920665740967,-1.21739399433136,6.55011701583862,"COR"
"DA63664","nonHR",13.7226819992065,2.85573768615723,-2.17175316810608,"COR"
"DA63666","nonHR",12.6137161254883,2.5506443977356,-1.49924600124359,"COR"
"DA63668","nonHR",-7.53198099136353,-2.86340022087097,6.30411815643311,"COR"
"DA63670","nonHR",13.3469247817993,3.38396286964417,-1.93244457244873,"COR"
"DA63672","HR",-5.19247198104858,-1.15855967998505,1.11336708068848,"COR"
"DA63674","nonHR",-4.66973352432251,-2.46293616294861,1.15039944648743,"COR"
"DA63678","nonHR",13.959981918335,-4.4390983581543,-4.4681396484375,"COR"
"DA63680","nonHR",-5.94740009307861,-1.75144529342651,1.33912885189056,"COR"
"DA63682","nonHR",-7.35828447341919,-0.635622560977936,5.36608219146729,"COR"
"DA63684","nonHR",-8.68124580383301,-1.40718877315521,4.91038274765015,"COR"
"DA63686","nonHR",-7.30347347259521,-2.87640690803528,6.55804586410522,"COR"
"DA63688","HR",-1.33563685417175,8.86077499389648,-9.25939655303955,"COR"
"DA63690","HR",-6.7884259223938,-1.3044513463974,5.10363960266113,"COR"
"DA63692","nonHR",-7.45409727096558,-2.99130320549011,6.63784217834473,"COR"
"DA63694","HR",-9.95555973052979,-0.855417907238007,5.70148706436157,"COR"
"DA63696","nonHR",-8.65937423706055,-1.41879892349243,4.89723253250122,"COR"
"DA63698","nonHR",-5.3818359375,-2.28665566444397,2.22792863845825,"FP"
"DA63700","nonHR",13.7295789718628,-3.89075541496277,-3.60575532913208,"COR"
"DA63702","nonHR",-9.40541076660156,-0.924245893955231,6.43246078491211,"COR"
"DA63704","nonHR",13.0184917449951,3.11769556999207,-1.93004655838013,"COR"
"DA63706","HR",-9.30303859710693,-1.66855239868164,5.56669569015503,"FN"
"DA63710","nonHR",-9.61228942871094,-1.30408620834351,6.75258350372314,"COR"
"DA63714","nonHR",-9.83669471740723,-0.899008393287659,5.20222949981689,"COR"
"DA63716","nonHR",-9.18277835845947,-2.27843332290649,6.3592267036438,"COR"
"DA63718","nonHR",-9.07416343688965,-2.56926703453064,5.88037204742432,"COR"
"DA63720","nonHR",13.5909738540649,2.97728753089905,-2.33866000175476,"COR"
"DA63722","nonHR",-7.72250175476074,-3.21325540542603,5.32606410980225,"COR"
"DA63724","nonHR",-7.67777967453003,-0.872313916683197,4.84678936004639,"COR"
"DA63728","nonHR",-7.64415407180786,-3.27791166305542,5.38620567321777,"COR"
"DA63730","nonHR",-9.20737934112549,-0.915773630142212,5.31150913238525,"COR"
"DA63732","nonHR",12.303126335144,-4.32177686691284,-3.797123670578,"COR"
"DA63734","nonHR",-7.30062007904053,-0.675111711025238,5.70957088470459,"COR"
"DA63736","nonHR",12.6201992034912,-4.67217493057251,-4.36686897277832,"COR"
"DA63738","nonHR",13.9222745895386,-4.91319751739502,-4.23069620132446,"COR"
"DA63740","nonHR",14.0340528488159,-4.18165588378906,-3.78190398216248,"COR"
"DA63742","nonHR",13.6106672286987,-5.32264566421509,-4.00913238525391,"COR"
"DA63746","nonHR",-8.67503356933594,-0.77480161190033,5.99316501617432,"COR"
"DA63748","nonHR",-7.11981821060181,-2.0224027633667,5.6662540435791,"COR"
